Date,Grand Total,Territory,Zone,Item Name,Quantity,Amount
30/07/2025,877603.736,T - Qainchi Moor (Sgd),A - Qainchi Moor (Sgd),Malta-500 ml,22,21120
30/07/2025,877603.736,T - Qainchi Moor (Sgd),A - Qainchi Moor (Sgd),Cola-1500 ml,234,252720
30/07/2025,877603.736,T - Qainchi Moor (Sgd),A - Qainchi Moor (Sgd),Cola-1500 ml,988,1067040
30/07/2025,1047422.745,T - Safdarabad,A - Safdarabad,Cola-2250 ml,1456,1281280
30/07/2025,1047422.745,T - Safdarabad,A - Safdarabad,Malta-2250 ml,112,98560
30/07/2025,2225511.288,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,370,288600
30/07/2025,2225511.288,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,1030,803400
30/07/2025,2225511.288,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,1155,900900
30/07/2025,2225511.288,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,495,386100
30/07/2025,2225511.288,T - MATTANI (PSW),A - Peshawar Cantt,Twister-1000 ml,910,709800
30/07/2025,748159.104,T - Jhang,A - Jhang-I,Cola-2250 ml,1120,985600
30/07/2025,193051.768,T - Miani Kallar Kahar,A - Tala Gang,Cola-2250 ml,289,254320
