Date,Grand Total,Territory,Zone,Item Name,Quantity,Amount
31/07/2025,828594.993,T - Besham,A - Besham,Twister-2250 ml,1232,1084160
31/07/2025,967457.974,T - Hazro,A - Hazro,Cola-1000 ml,165,128700
31/07/2025,967457.974,T - Hazro,A - Hazro,Cola-1500 ml,48,51840
31/07/2025,967457.974,T - Hazro,A - Hazro,Twister-1000 ml,165,128700
31/07/2025,967457.974,T - Hazro,A - Hazro,Twister-2250 ml,1120,985600
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Cola-300 ml,248,178560
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Cola-1500 ml,507,547560
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Cola-2250 ml,560,492800
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Lemon up-1500 ml,208,224640
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Water-600 ml,132,79200
31/07/2025,1069428.711,T - Shah Jewana,A - Jhang-Ii,Cola-1500 ml,13,14040
28/07/2025,219697.966,T - Mansehra,A - Mansehra,Twister-1000 ml,130,101400
28/07/2025,219697.966,T - Mansehra,A - Mansehra,Cola-1500 ml,104,112320
28/07/2025,219697.966,T - Mansehra,A - Mansehra,Lemon up-1500 ml,104,112320
31/07/2025,748159.104,T - Jund,A - Pindi-Ghaib,Twister-2250 ml,1120,985600
31/07/2025,374079.552,T - Jund,A - Pindi-Ghaib,Cola-2250 ml,560,492800
31/07/2025,739421.755,T - PINDI-GHAIB,A - Pindi-Ghaib,Cola-1000 ml,510,397800
31/07/2025,739421.755,T - PINDI-GHAIB,A - Pindi-Ghaib,Malta-300 ml,248,178560
31/07/2025,739421.755,T - PINDI-GHAIB,A - Pindi-Ghaib,Twister-300 ml,248,178560
31/07/2025,739421.755,T - PINDI-GHAIB,A - Pindi-Ghaib,Twister-1000 ml,330,257400
29/07/2025,340679.592,T - PESHAWAR ROAD-RWP CANTT,A - Rawalpindi,Cola-2250 ml,510,448800
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Cola-2250 ml,540,475200
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Malta-300 ml,248,178560
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Red Anar-300 ml,248,178560
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Red Anar-1500 ml,104,112320
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Twister-300 ml,248,178560
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Twister-1500 ml,192,207360
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Malta-500 ml,25,24000
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Lemon up-500 ml,25,24000
30/07/2025,1192471.76,T - Bara Koh (Isb),A - Islamabad,Twister-1000 ml,330,257400
31/07/2025,92729.637,T - Syed Wala,A - Bucheki,Lemon up-1000 ml,165,128700
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Cola-300 ml,248,178560
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Cola-500 ml,432,414720
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Cola-1000 ml,495,386100
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Lemon up-500 ml,288,276480
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Lemon up-1000 ml,0.339,264.42
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Lemon up-1000 ml,130,101400
31/07/2025,1013084.422,T - Syed Wala,A - Bucheki,Lemon up-1000 ml,1.661,1295.58
31/07/2025,1209060.594,T - Wah Cantt,A - Wah Cantt,Cola-1500 ml,1040,1123200
31/07/2025,1209060.594,T - Wah Cantt,A - Wah Cantt,Lemon up-1500 ml,208,224640
31/07/2025,1209060.594,T - Wah Cantt,A - Wah Cantt,Lemon up-1500 ml,467,504360
29/07/2025,206854.452,T - Wah Cantt,A - Wah Cantt,Twister-1000 ml,180,140400
29/07/2025,206854.452,T - Wah Cantt,A - Wah Cantt,Water-600 ml,288,172800
31/07/2025,376221.442,T - MINGORA CITY,A - Sawat,Cola-300 ml,199.757,143825.04
31/07/2025,376221.442,T - MINGORA CITY,A - Sawat,Red Anar-300 ml,395,284400
31/07/2025,376221.442,T - MINGORA CITY,A - Sawat,Cola-300 ml,48.243,34734.96
31/07/2025,376221.442,T - MINGORA CITY,A - Sawat,Red Anar-300 ml,55,39600
31/07/2025,16859.934,T - MINGORA CITY,A - Sawat,Cola-1000 ml,30,23400
31/07/2025,1099786.896,T - MINGORA CITY,A - Sawat,Twister-1500 ml,408,440640
31/07/2025,1099786.896,T - MINGORA CITY,A - Sawat,Twister-1500 ml,1152,1244160
30/07/2025,112399.56,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,45,35100
30/07/2025,112399.56,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,155,120900
30/07/2025,1669133.466,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,566,441480
30/07/2025,1669133.466,T - Yar Hussain (Sawabi),A - Swabi,Twister-1000 ml,2404,1875120
31/07/2025,701399.16,T - Yar Hussain (Sawabi),A - Swabi,Twister-2250 ml,1050,924000
31/07/2025,1895374.08,T - Marghuz (Topi),A - Swabi,Twister-1500 ml,2400,2592000
30/07/2025,86729.442,T - Kabal (Sawat),A - Sawat,Twister-1000 ml,50,39000
30/07/2025,86729.442,T - Kabal (Sawat),A - Sawat,Twister-1500 ml,50,54000
30/07/2025,86729.442,T - Kabal (Sawat),A - Sawat,Twister-2250 ml,35,30800
31/07/2025,1255838.496,T - Thakot Alai,A - Besham,Twister-2250 ml,1302,1145760
31/07/2025,1255838.496,T - Thakot Alai,A - Besham,Twister-2250 ml,578,508640
30/07/2025,1382749.611,T - Kabal (Sawat),A - Sawat,Twister-1500 ml,1950,2106000
30/07/2025,1382749.611,T - Kabal (Sawat),A - Sawat,Twister-2250 ml,12,10560
30/07/2025,921237.567,T - Khana Pul Islamabad,A - Khana Pul,Cola-1500 ml,708,764640
30/07/2025,921237.567,T - Khana Pul Islamabad,A - Khana Pul,Cola-2250 ml,448,394240
30/07/2025,921237.567,T - Khana Pul Islamabad,A - Khana Pul,Red Anar-300 ml,160,115200
30/07/2025,921237.567,T - Khana Pul Islamabad,A - Khana Pul,Cola-500 ml,25,24000
30/07/2025,921237.567,T - Khana Pul Islamabad,A - Khana Pul,Lemon up-500 ml,25,24000
30/07/2025,185459.274,T - Main Market (Smd),A - Dijkot,Cola-1000 ml,330,257400
31/07/2025,779091.933,T - SHANKIARI-MANSEHRA,A - Mansehra,Twister-1500 ml,150,162000
31/07/2025,779091.933,T - SHANKIARI-MANSEHRA,A - Mansehra,Twister-2250 ml,1008,887040
